"","startq","allP","test1","allPln","test1ln"
"1","0.01",16.6,13.64,2.8094026953625,2.61300665241532
"2","0.01",13.59,13.84,2.60933422816305,2.62756295018952
"3","0.01",18.5,14.21,2.91777073208428,2.65394594210901
"4","0.05",14.47,12.88,2.67207754064339,2.55567572067621
"5","0.05",10.92,13.05,2.39059597031676,2.5687881337687
"6","0.05",15.87,13.19,2.76443053453832,2.57945896672922
"7","0.10",14.28,12.48,2.65885995691144,2.52412736294128
"8","0.10",12.8,11.6,2.54944517092557,2.45100509811232
"9","0.10",14.52,12.1,2.67552700939665,2.4932054526027
"10","0.50",11.57,10.36,2.44841554120559,2.33795223683134
"11","0.50",11.27,10.67,2.42214432805168,2.36743606531366
"12","0.50",11.73,10.35,2.46214966266538,2.33698651971138
"13","1.00",12.25,10.96,2.50552593699074,2.39425228151987
"14","1.00",11.49,10.8,2.44147709186066,2.37954613413017
"15","1.00",10.79,10.84,2.37861977927004,2.3832429960115
"16","5.00",10.1,NA,2.31253542384721,NA
