"","sampleID.exp","test1.exp","allP.exp"
"1","10_A_65",19.54,23.23
"2","10_C_67",19.09,22.59
"3","10_D_68",19.55,22.85
"4","162_A_941",17.86,23.24
"5","162_B_942",17.8,24.03
"6","162_C_943",17.5,17.09
"7","162_D_944",17.8,21.54
"8","166_B_966",19.8,12.92
"9","166_C_967",19.1,22.49
"10","170_A_989",18.9,20.68
"11","170_B_990",18.07,24.49
"12","170_C_991",18.27,20.42
"13","170_D_992",18.53,21.39
"14","188_A_1197",20,21.93
"15","188_B_1198",22.71,28.77
"16","19_A_125",21.44,23.58
"17","19_B_126",19.55,23.99
"18","19_C_127",18.9,23.76
"19","19_D_128",21.67,23.3
"20","201_A_1269",22.46,22.19
"21","201_B_1270",19.16,22.55
"22","201_D_1272",20.42,24.52
"23","206_A_1329",18.95,22.65
"24","206_B_1330",18.67,19.52
"25","206_C_1331",21.35,16.27
"26","209_A_1365",18.53,11.47
"27","209_B_1366",18.4,11.66
"28","209_C_1367",18.65,23.54
"29","209_D_1368",22.23,11.13
"30","212_A_1401",20.78,23.12
"31","212_B_1402",20.08,13.25
"32","212_C_1403",19.53,22.1
"33","214_A_1425",22.82,12.49
"34","214_B_1426",18.37,15.55
"35","214_C_1427",19.83,23.63
"36","214_D_1428",23.29,22.93
"37","221_B_1510",19.92,23.48
"38","221_C_1511",24.82,32.92
"39","231_A_1629",20.03,23.45
"40","231_B_1630",22,20.77
"41","231_C_1631",19.44,11.05
"42","233_B_1654",20.14,28.41
"43","233_C_1655",20.81,29.82
"44","236_A_1689",20.93,18.51
"45","236_C_1691",21.36,19.99
"46","236_D_1692",23.5,26.6
"47","242_A_1761",19.23,22.47
"48","242_B_1762",19.22,23.75
"49","242_C_1763",18.52,22.46
"50","242_D_1764",23.45,26.22
"51","243_A_1793",22.19,27.75
"52","243_B_1794",21,28.89
"53","243_C_1795",20.25,17.63
"54","243_D_1796",21.42,25.7
"55","245_A_1797",27.83,13.78
"56","245_B_1798",20.9,26.82
"57","245_D_1800",27.3,31.3
"58","248_A_1833",23.53,23.46
"59","248_B_1834",21.18,29.14
"60","248_C_1835",19.6,21.9
"61","248_D_1836",20,25.73
"62","250_B_1858",24.32,26.51
"63","250_C_1859",23.03,30.8
"64","30_A_185",18.93,20.41
"65","30_B_186",24.27,30.34
"66","30_C_187",18.41,24.91
"67","30_D_188",20.45,27.58
"68","35_A_221",22.43,26.51
"69","35_C_223",18.38,22.64
"70","35_D_224",20.55,22.65
"71","46_A_281",18.13,21.65
"72","46_B_282",19.03,11.25
"73","46_C_283",19.21,25.17
"74","46_D_284",21.35,26.54
"75","70_A_425",25.7,22.06
"76","70_B_426",18.65,13.95
"77","70_C_427",18.35,15.66
"78","70_D_428",24.81,12.59
