"","reaction_type","sampleID","starting_quantity","Cycle_number","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39"
"1","test1","gblock+IRE_plus18IRE",100,"A16",3605.08926,3575.640088,3569.480212,3561.394818,3563.973897,3560.548488,3560.898781,3561.743129,3570.980901,3576.582268,3603.985812,3646.936112,3707.363768,3795.445424,3900.315558,4005.309714,4116.615989,4218.195671,4306.641713,4399.395255,4476.24638,4562.129025,4625.878843,4690.506261,4743.516742,4790.946853,4839.028647,4878.480981,4909.904827,4937.802944,4960.585326,4979.874474,5005.656745,5018.79316,5035.497838,5052.293806,5059.833684,5063.726913,5074.336242,5083.397535
"2","test1","gblock+IRE_plus18IRE",100,"A17",3538.695429,3512.574148,3507.039304,3502.625778,3502.683804,3503.41946,3503.738223,3503.724922,3507.479593,3522.313782,3539.657164,3575.252119,3635.591324,3716.182912,3806.593865,3901.908794,4000.363418,4097.966878,4188.075824,4264.361828,4338.298974,4412.535228,4474.001696,4533.194576,4584.016186,4628.587747,4673.001715,4705.687796,4734.850731,4765.834516,4792.555206,4809.087246,4833.254368,4841.906952,4859.208194,4867.113178,4884.049077,4899.594338,4903.917263,4913.998995
"3","test1","gblock+IRE_plus18IRE",100,"A18",3529.885246,3499.879339,3493.270884,3491.079093,3490.258475,3489.504053,3490.023986,3492.395014,3497.358162,3508.621388,3531.83345,3558.600563,3622.319089,3702.211277,3799.500539,3896.086335,3995.156279,4088.920455,4175.340975,4259.651143,4336.438858,4403.705589,4469.195803,4528.215808,4582.272561,4621.718597,4666.868848,4700.705202,4730.694218,4762.079407,4780.556065,4803.194573,4825.073601,4842.575923,4851.774756,4866.937634,4882.724216,4888.282593,4901.180247,4913.423032
"4","all_products","gblock+IRE_plus18IRE",100,"A19",3574.416578,3556.93336,3547.412415,3546.410198,3542.379488,3541.67315,3539.81215,3539.813764,3541.062078,3555.545781,3569.686238,3590.221989,3631.430452,3692.60385,3769.204297,3857.514105,3950.460649,4050.819266,4136.574745,4223.96394,4303.280449,4391.189011,4455.188818,4519.888882,4587.203492,4636.770831,4682.308666,4726.155375,4765.120031,4803.60345,4836.398091,4863.730999,4892.628928,4918.670455,4936.40286,4950.536886,4970.013533,4987.275201,5004.250706,5012.375084
"5","all_products","gblock+IRE_plus18IRE",100,"A20",3471.0459,3448.964651,3443.227697,3440.419618,3440.979527,3439.493675,3446.070813,3443.290989,3442.732662,3452.142239,3464.704983,3486.26121,3524.025774,3585.337459,3656.793728,3740.249847,3829.266333,3915.529367,3993.937358,4079.883587,4153.004924,4227.683824,4291.554765,4349.18532,4405.358661,4453.975306,4504.734354,4547.911115,4581.084365,4618.529212,4650.539631,4673.921767,4695.737245,4725.511953,4733.065155,4756.177572,4772.128594,4785.988426,4799.122637,4816.432563
"6","all_products","gblock+IRE_plus18IRE",100,"A21",3612.723398,3591.509214,3594.852898,3591.779557,3589.781968,3590.575141,3592.131931,3590.746264,3599.668618,3611.189308,3626.956551,3654.739229,3700.877013,3772.749241,3862.193638,3961.975538,4072.811253,4181.511547,4283.75915,4388.289143,4468.426671,4572.268409,4653.516177,4726.836487,4797.879949,4857.518975,4921.390209,4970.401491,5014.93109,5057.605962,5095.811831,5125.489848,5160.017038,5185.565603,5209.667501,5233.458786,5249.347365,5269.095557,5286.24916,5302.760375
"7","all_products","gblock_minusIRE_onlyExonnoIRE",100,"A22",3660.637358,3634.584461,3634.481218,3637.765858,3635.441161,3639.369227,3643.960143,3649.637763,3658.310843,3673.856093,3703.015315,3746.971925,3823.446992,3920.271067,4036.284109,4149.768866,4268.720831,4389.833076,4495.307996,4603.404452,4693.357243,4793.087891,4873.546621,4943.063432,5016.684562,5078.635662,5132.962693,5178.845261,5226.378759,5266.899159,5294.871191,5326.984453,5358.609628,5385.676082,5404.700722,5438.123131,5447.981958,5464.263858,5477.763441,5499.172229
"8","all_products","gblock_minusIRE_onlyExonnoIRE",100,"A23",3673.635466,3638.190275,3643.998102,3640.408132,3645.220322,3641.99782,3648.667741,3648.323527,3657.165054,3668.501698,3696.696505,3749.25953,3811.731362,3907.624479,4013.619154,4128.04217,4237.452548,4348.700662,4453.358555,4558.210211,4651.484066,4736.440028,4819.439469,4890.784454,4952.836265,5023.489049,5080.975834,5124.289754,5167.313962,5208.336785,5239.942398,5276.207109,5306.752142,5332.981307,5352.200723,5375.286828,5399.046483,5414.912047,5422.398348,5444.649346
"9","all_products","gblock_minusIRE_onlyExonnoIRE",100,"A24",3585.407507,3558.010831,3566.814532,3571.640218,3572.912841,3573.601613,3573.391519,3580.05862,3586.594327,3605.428824,3629.038614,3675.078925,3749.106226,3833.975275,3943.484967,4052.496488,4157.945565,4264.422638,4362.997141,4468.862075,4554.352267,4639.814948,4712.548735,4782.84672,4855.636733,4915.101842,4969.959648,5020.055614,5068.186204,5106.749421,5149.673797,5183.060799,5214.929067,5244.995785,5265.083386,5289.040444,5305.510638,5320.332127,5336.789005,5353.715705
"10","test1","gblock+IRE_plus18IRE",0.5,"B16",3573.406022,3529.249166,3523.187009,3519.060915,3517.177599,3518.80244,3515.811259,3517.828564,3511.109544,3513.239277,3508.659368,3509.872925,3511.419,3514.251641,3518.157506,3517.862832,3524.603568,3539.246317,3560.165049,3601.517452,3664.554901,3747.852888,3839.313282,3942.971669,4046.293989,4137.8123,4223.033733,4301.081395,4377.693196,4445.635691,4510.241536,4571.18186,4623.560685,4670.316414,4713.363908,4748.34757,4789.251445,4819.754301,4846.286761,4873.596188
