"","sampleID","starting_quantity","cpD1","cpD2"
"1","sampleID","starting_quantity","cpD1","cpD2"
"2","10_A_65","NaN","32.979999999999997","29.46"
"3","30_A_185","NaN","33.21","29.67"
"4","46_A_281","NaN","32.33","28.51"
"5","233_A_1653","NaN","32.44","28.78"
"6","162_A_941","NaN","31.95","28.16"
"7","170_A_989","NaN","32.950000000000003","29.37"
"8","206_A_1329","NaN","32.67","29.08"
"9","212_A_1401","NaN","34.36","31.13"
"10","231_A_1629","NaN","33.909999999999997","30.54"
"11","243_A_1793","NaN","35.65","32.770000000000003"
"12","221_A_1509","NaN","34.5","31.2"
"13","248_A_1833","NaN","36.68","33.979999999999997"
"14","10_A_65","NaN","38.53","36.33"
"15","30_A_185","NaN","39.69","37.67"
"16","46_A_281","NaN","38.83","36.549999999999997"
"17","233_A_1653","NaN","38.380000000000003","36.159999999999997"
"18","162_A_941","NaN","38.14","35.92"
"19","170_A_989","NaN","39.200000000000003","36.979999999999997"
"20","206_A_1329","NaN","38.869999999999997","36.67"
"21","212_A_1401","NaN","40","39.44"
"22","231_A_1629","NaN","40","38.29"
"23","243_A_1793","NaN","40","1"
"24","221_A_1509","NaN","40","38.33"
"25","248_A_1833","NaN","40","1"
"26","10_B_66","NaN","35.56","32.76"
"27","30_B_186","NaN","37.28","34.840000000000003"
"28","46_B_282","NaN","32.64","28.88"
"29","233_B_1654","NaN","34.01","30.7"
"30","162_B_942","NaN","31.87","27.99"
"31","170_B_990","NaN","32.35","28.58"
"32","206_B_1330","NaN","33.11","29.54"
"33","212_B_1402","NaN","33.79","30.47"
"34","231_B_1630","NaN","35.659999999999997","32.770000000000003"
"35","243_B_1794","NaN","35.56","32.53"
"36","221_B_1510","NaN","33.82","30.35"
"37","248_B_1834","NaN","34.67","31.49"
"38","10_B_66","NaN","40","1.98"
"39","30_B_186","NaN","40","1"
"40","46_B_282","NaN","40","37.630000000000003"
"41","233_B_1654","NaN","38.43","36.82"
"42","162_B_942","NaN","38.42","36.15"
"43","170_B_990","NaN","39.08","36.93"
"44","206_B_1330","NaN","40","37.46"
"45","212_B_1402","NaN","40","40"
"46","231_B_1630","NaN","40","1"
"47","243_B_1794","NaN","40","1"
"48","221_B_1510","NaN","40","37.700000000000003"
"49","248_B_1834","NaN","40","1"
"50","10_C_67","NaN","32.409999999999997","28.74"
"51","30_C_187","NaN","32.44","28.71"
"52","46_C_283","NaN","32.979999999999997","29.42"
"53","233_C_1655","NaN","34.81","31.6"
"54","162_C_943","NaN","31.88","27.94"
"55","170_C_991","NaN","32.53","28.75"
"56","206_C_1331","NaN","35.229999999999997","32.1"
"57","212_C_1403","NaN","33.71","30.26"
"58","231_C_1631","NaN","33.44","29.92"
"59","243_C_1795","NaN","34.380000000000003","31.08"
"60","221_C_1511","NaN","38.159999999999997","35.840000000000003"
"61","248_C_1835","NaN","33.700000000000003","30.18"
"62","10_C_67","NaN","38.369999999999997","36"
"63","30_C_187","NaN","38.4","36.299999999999997"
"64","46_C_283","NaN","39.11","36.94"
"65","233_C_1655","NaN","40","1.1599999999999999"
"66","162_C_943","NaN","38.17","35.69"
"67","170_C_991","NaN","38.909999999999997","36.380000000000003"
"68","206_C_1331","NaN","40","40"
"69","212_C_1403","NaN","40","38.89"
"70","231_C_1631","NaN","39.94","37.409999999999997"
"71","243_C_1795","NaN","40","38.950000000000003"
"72","221_C_1511","NaN","40","1"
"73","248_C_1835","NaN","39.21","37.03"
"74","10_D_68","NaN","32.92","29.32"
"75","30_D_188","NaN","34.07","30.84"
"76","46_D_284","NaN","34.76","31.66"
"77","233_D_1656","NaN","33.75","30.22"
"78","162_D_944","NaN","31.87","27.99"
"79","170_D_992","NaN","32.619999999999997","28.93"
"80","212_D_1404","NaN","38.78","36.78"
"81","231_D_1632","NaN","34.130000000000003","30.78"
"82","243_D_1796","NaN","35.06","32.01"
"83","221_D_1512","NaN","32.74","29.09"
"84","248_D_1836","NaN","33.78","30.44"
"85","10_D_68","NaN","38.4","36.15"
"86","30_D_188","NaN","40","1"
"87","46_D_284","NaN","40","40"
"88","233_D_1656","NaN","40","37.67"
