"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"1","10_A_65",19540000,23230000,-0.456975991705421,0.214966789112269,"june",1,0,1837.80405330895,19541837.8040533,3688162.19594669
"2","10_C_67",19090000,22590000,-0.657348974951645,0.0928276801607043,"june",1,0,1732.82478346261,19091732.8247835,3498267.17521654
"3","10_D_68",19550000,22850000,-0.452523258744393,0.142446693172278,"june",1,0,1820.84067373489,19551820.8406737,3298179.15932627
"4","162_A_941",17860000,23240000,-1.20503512915799,0.216875212689637,"june",1,0,1514.29404454618,17861514.2940445,5378485.70595545
"5","162_B_942",17800000,24030000,-1.23175152692415,0.367640675301725,"june",1,0,1568.44927003175,17801568.44927,6228431.55072997
"6","162_C_943",17500000,17090000,-1.36533351575497,-0.956805287391804,"june",1,0,980.816497355647,17500980.8164974,-410980.816497356
"7","162_D_944",17800000,21540000,-1.23175152692415,-0.107556795462957,"june",1,0,1352.41116689518,17801352.4111669,3738647.5888331
"8","166_B_966",19800000,12920000,-0.341204934718713,-1.75261791915434,"june",1,0,1194.1002026116,19801194.1002026,-6881194.10020261
"9","166_C_967",19100000,22490000,-0.652896241990617,0.073743444387022,"june",1,0,1727.94141506164,19101727.9414151,3388272.05858494
"10","170_A_989",18900000,20680000,-0.741950901211162,-0.271681223116622,"june",1,0,1545.91197525084,18901545.9119752,1778454.08802475
"11","170_B_990",18070000,24490000,-1.11152773697642,0.455428159860662,"june",1,0,1668.21513530685,18071668.2151353,6418331.78486469
"12","170_C_991",18270000,20420000,-1.02247307775588,-0.321300236128194,"june",1,0,1374.95529174974,18271374.9552917,2148625.04470825
"13","170_D_992",18530000,21390000,-0.906702020769168,-0.136183149123479,"june",1,0,1518.40330814575,18531518.4033081,2858481.59669185
"14","188_A_1197",2e+07,21930000,-0.252150275498169,-0.0331282759455968,"june",1,0,1835.56126974668,20001835.5612697,1928164.43873025
"15","188_B_1198",22710000,28770000,0.954540356940204,1.27223345097425,"june",1,0,2460.59525201414,22712460.595252,6057539.40474799
"16","19_A_125",21440000,23580000,0.389043270889749,0.281761614320156,"june",1,0,2019.36577452433,21442019.3657745,2137980.63422548
"17","19_B_126",19550000,23990000,-0.452523258744393,0.360006980992252,"june",1,0,1871.18512290595,19551871.1851229,4438128.81487709
"18","19_C_127",18900000,23760000,-0.741950901211162,0.316113238712784,"june",1,0,1774.0182642125,18901774.0182642,4858225.98173579
"19","19_D_128",21670000,23300000,0.491456128993375,0.228325754153847,"june",1,0,2032.79865107086,21672032.7986511,1627967.20134893
"20","201_A_1269",22460000,22190000,0.843222032914524,0.0164907370659767,"june",1,0,2082.01538981593,22462082.0153898,-272082.015389815
"21","201_B_1270",19160000,22550000,-0.626179844224454,0.0851939858512317,"june",1,0,1742.74093760234,19161742.7409376,3388257.2590624
"22","201_D_1272",20420000,24520000,-0.0651354911350256,0.461153430592766,"june",1,0,1961.58953296539,20421961.589533,4098038.41046704
"23","206_A_1329",18950000,22650000,-0.719687236406026,0.104278221624913,"june",1,0,1710.80096092913,18951710.8009609,3698289.19903907
"24","206_B_1330",18670000,19520000,-0.844363759314787,-0.493058358091332,"june",1,0,1396.9998753897,18671396.9998754,848603.000124611
"25","206_C_1331",21350000,16270000,0.348968674240504,-1.113296020736,"june",1,0,1718.05061018458,21351718.0506102,-5081718.05061018
"26","209_A_1365",18530000,11470000,-0.906702020769168,-2.02933933787273,"june",1,0,873.112222017826,18530873.112222,-7060873.11222202
"27","209_B_1366",18400000,11660000,-0.964587549262523,-1.99307928990274,"june",1,0,856.468880716047,18400856.4688807,-6740856.46888072
"28","209_C_1367",18650000,23540000,-0.853269225236843,0.274127920010683,"june",1,0,1715.68387857828,18651715.6838786,4888284.31612142
"29","209_D_1368",22230000,11130000,0.740809174810898,-2.09422573950325,"june",1,0,1516.31659277626,22231516.3165928,-11101516.3165928
"30","212_A_1401",20780000,23120000,0.0951628954619536,0.193974129761219,"june",1,0,1952.61447088135,20781952.6144709,2338047.38552912
"31","212_B_1402",20080000,13250000,-0.216528411809952,-1.68963994110119,"june",1,0,1262.29219715202,20081262.2921972,-6831262.29219715
"32","212_C_1403",19530000,22100000,-0.461428724666447,-0.000685075130337096,"june",1,0,1777.09840620787,19531777.0984062,2568222.90159379
"33","214_A_1425",22820000,12490000,1.0035204195115,-1.83468013298118,"june",1,0,1728.92958819907,22821728.9295882,-10331728.9295882
"34","214_B_1426",18370000,15550000,-0.977945748145603,-1.25070251830651,"june",1,0,1068.67092945425,18371068.6709295,-2821068.67092945
"35","214_C_1427",19830000,23630000,-0.327846735835632,0.291303732206997,"june",1,0,1886.43927077591,19831886.4392708,3798113.56072922
