"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__mean.QTL.add","m__se__(Intercept)","m__se__mean.QTL.add","v__est__(Intercept)","v__est__var.QTL.add","v__se__(Intercept)","v__se__var.QTL.add"
"1","A","1","gpm27",0.01,0.124083598994888,0.724647017909532,0.0033987616847705,0.953510544085093,0.125832420524801,0.939022150812536,6997.15450505994,-350.376852004014,717.844853607201,468.281932287101,16.5591782130345,-0.0210793315129845,0.303215491590806,0.199473014453796
"2","A","1","tub1",0.81,0.0179995613575619,0.893274122784928,9.01874645061927e-07,0.99924227243772,0.0180038514731972,0.991038470291993,6745.73403068743,-131.532068965173,722.839295695849,462.764971546234,16.5412585654611,-0.000337014520466872,0.334217214107482,0.21399544298423
"3","A","1","gpm113b",0.82,0.0172971389542111,0.895365083299064,8.11873249777646e-08,0.999772655646765,0.0172997070107016,0.991387448846706,6742.56771797276,-128.879550953272,722.752122992189,462.545673288764,16.5410128099539,-0.000101048289429615,0.33423076487781,0.213908856411389
"4","A","1","gpm705a",0.84,0.0172948841383385,0.895371864277838,8.40577066274563e-08,0.999768671669354,0.0172974670435341,0.991388559184995,6742.55992985984,-128.872720589006,722.759691944504,462.551334160632,16.5410151076679,-0.000102820426759036,0.334233831621237,0.213911344492926
"5","A","1","gpm325a",4.97,0.0186738833105771,0.891305541626803,0.0290452601009171,0.864674575659133,0.0484919897914913,0.976045577993325,6398.60666837077,140.890920365443,808.065228784395,486.596258316073,16.6210469750276,-0.0619197568298421,0.514869606063888,0.316324183306787
"6","A","1","dmt103b",6.89,0.0307156351991034,0.860876309901392,0.0337648690316527,0.854207860594683,0.0679476861506115,0.966596787506225,6337.9101057734,184.849240961586,826.972957315985,497.099871037823,16.6285261059513,-0.0677171406059557,0.529371889510057,0.325078194054834
"7","A","1","gpm699d",8.67,0.0183119877996267,0.892357454829683,0.0337520013089026,0.854235332580786,0.0558954572586151,0.972439196202475,6394.38116460985,143.713166398094,826.673752540788,499.986378519927,16.6292564154755,-0.068169053062602,0.517974495471043,0.32006164735154
"8","A","1","gpm319",14.82,0.318027654827634,0.572795369980169,0.22198282158535,0.63753324329956,0.618947391651443,0.733833074017753,5549.57941494292,689.082470154701,1024.15975358547,568.262437567607,16.7816636311013,-0.184064490368776,0.466201378759095,0.26909107594697
"9","A","1","IDP1447",19.92,0.691494790710427,0.405656411911434,0.24643725770781,0.619594961832673,1.08679260423891,0.580772420409733,5172.20500083054,971.50900189515,959.005273530191,537.754350426074,16.7499955438579,-0.187743733261764,0.595659320267735,0.349251940465361
"10","A","1","bnl5.62a",21.12,0.691915959814157,0.405513455351318,0.246588691460312,0.619487393793338,1.0873170545882,0.580620147226165,5171.76429984924,971.765125225058,959.034845796034,537.740442586669,16.750057073869,-0.18779940421747,0.614382414801528,0.360214105404216
"11","A","1","IDP1464",21.17,0.69189970687124,0.405518970688587,0.246584235183815,0.619490558635163,1.08730046868255,0.580624962301623,5171.78050547432,971.753550003353,959.034188295771,537.739890042502,16.7500557491282,-0.187797688317566,0.612117146740203,0.358885733235146
"12","A","1","fus6",22.62,0.406622954312798,0.523688556231995,0.334939951122997,0.562764642851647,0.822741748728866,0.662741092334401,5346.36596229556,813.533156669739,1081.51874362559,594.831342086117,16.8419453985165,-0.229707870222174,0.434649189464227,0.250114428433496
"13","A","1","AY109692",23.62,0.386896791757789,0.533935106649587,0.329780203188865,0.565788541066153,0.801543615456506,0.669802887442877,5377.49239692935,795.096954728631,1080.41008804397,595.627963985342,16.8401553189992,-0.228172799822835,0.436386700345166,0.251631991880359
"14","A","1","mmp102",24.42,0.924570934080192,0.33627764952963,0.144657752125187,0.703693791761818,1.29828615380641,0.522493321573064,4763.66285396765,1191.18029087386,1008.52536458615,559.365055854336,16.6962428808581,-0.151671678008954,0.472259740387666,0.270317610221951
"15","A","1","AY110314",29.42,0.422159675577617,0.515861370657402,0.205636737558949,0.650208994140106,0.706587931666422,0.702370690041145,5489.02466567424,753.902018612798,958.811262392813,539.58288120395,16.7495392833617,-0.17184339431316,0.403827174722695,0.236843365491332
"16","A","1","umc94a",38.62,0.215281283877218,0.64265910733811,0.419843827281633,0.517014981695015,0.655627509533292,0.720497196378501,6003.26446429545,476.828491821581,814.489401417938,483.08233018267,16.779976751567,-0.227266617251362,0.34185285358292,0.21892260520037
"17","A","1","gpm331",38.71,0.215919370768071,0.642166899753254,0.42276727163805,0.515559449399478,0.6598241062187,0.718986963319291,6001.00209128924,478.275464369508,815.854987551217,483.807717975012,16.7810775608396,-0.228160339915093,0.342333402856465,0.219227182669353
"18","A","1","lim179",47.02,0.134297823090025,0.714016875940177,0.513089163876102,0.473804629832097,0.670586270649738,0.715128426221122,6104.4906737661,387.132476462845,846.041136344702,497.018688911853,16.8156916966924,-0.25231056462124,0.365557872362704,0.232772367850925
"19","A","1","IDP755",52.47,0.0142420825337236,0.905005838723327,0.713551870669845,0.398267192686128,0.728083633281564,0.694862137334983,6740.33447950104,-125.650236007351,853.95789489872,497.00763630867,16.8618396208742,-0.296053704185778,0.388530246654142,0.248613543478324
"20","A","1","AY107629",54.63,0.0155041932609599,0.900906863128554,0.687813902767069,0.406908950199629,0.705352984511239,0.702804519309191,6743.8409873344,-129.889917951058,845.175310361689,492.370127341064,16.8536540622177,-0.289869403836328,0.390961394359955,0.250208333375214
"21","A","1","mmp49",56.12,0.0126060782983772,0.910603941760443,0.688804171692007,0.406571424288767,0.702007048350235,0.703981272897964,6729.70213096911,-117.680735870534,848.628978268503,494.77145827365,16.8562840663161,-0.291380372029016,0.385101067376204,0.246658502675814
"22","A","1","cdo1081a",57.82,0.000688973363686642,0.979059289624921,0.94483100133891,0.331038520756557,0.946029583991127,0.623120853908581,6548.06458912427,29.1655716544289,929.648553791441,524.616902216796,16.934168783035,-0.345190307440416,0.382883861843296,0.23777763869979
"23","A","1","asg31",65.22,0.0109744962810989,0.916566861683611,0.904104596563506,0.341683496978475,0.917602256698723,0.632040927424244,6440.67761784209,113.741411740077,901.537699585193,512.488382724695,16.9134078465238,-0.334904863029245,0.403590627263544,0.2529661621112
"24","A","1","npi415",66.02,0.00923878687452085,0.923426372393438,0.855449710539359,0.355015198580147,0.867558556241174,0.64805527967978,6453.98648054215,104.780540059214,894.641921726716,514.538058409437,16.9014053022493,-0.326416578681351,0.409355041978749,0.259076348890435
"25","A","1","ufg31",71.62,0.0153819604536676,0.901296247371522,0.571896469788411,0.449506292463454,0.582922503550145,0.747170964590662,6435.19788372919,126.580759111598,803.319264000937,481.640865780484,16.8172390489782,-0.267211281638437,0.416192751804728,0.274144576064617
"26","A","1","gpm330",71.91,0.0161187748710992,0.89897226566316,0.574050008876287,0.448654024069364,0.585461301796871,0.746223108154553,6431.57818650341,129.608153938535,803.401981435354,481.733996329896,16.817716579477,-0.267857366332358,0.424266512445326,0.279544310286336
"27","A","1","ufg33",72.02,0.239562054875422,0.62452260085004,0.862959934051265,0.352911698636985,1.0491293747697,0.591812931936622,6031.34571665863,494.3675890456,787.999380305299,474.913766510217,16.8463132343686,-0.334147701233338,0.312172238484811,0.212836502115632
"28","A","1","ufg32",72.82,0.240668215211018,0.623723910604825,0.864920095016188,0.35236549077823,1.05159801657627,0.591082895506198,6030.94491832408,495.089364086975,787.311231035079,474.501942550675,16.8459286979788,-0.334217315700126,0.311928942457842,0.21270960818681
"29","A","1","ufg34",74.42,0.244062990237202,0.621286887223964,0.867288269743687,0.35170712569175,1.05851628516147,0.589041792652274,6028.49334826539,498.097339296742,786.485425141369,474.06862394948,16.8453346099425,-0.334395891208634,0.311742125024512,0.212669009161362
"30","A","1","AY108650",77.57,0.102793245547657,0.748503034908434,0.727000857390161,0.393857058073576,0.789951703363136,0.673696307685404,6198.21458380336,331.1409249167,806.567311621827,485.564093295351,16.846596826654,-0.310691095534893,0.440898812576915,0.296055823600751
"31","A","1","gpm495",80.45,0.0068298398875552,0.93413553211509,0.545594814238991,0.460123258173944,0.551329859482175,0.759067229007928,6486.20196954472,83.8730756839219,800.541468353124,479.127745812577,16.8101901354823,-0.258483831409852,0.428651379695252,0.281170304199532
"32","A","1","gpm83b",80.75,0.00311328666943174,0.955503657225741,0.532960588574972,0.465364819228562,0.536383599549739,0.764761086031143,6519.15855698289,56.5086252643083,800.205827767957,478.155460362525,16.8069868513306,-0.253959759013309,0.38190171917731,0.249780601840988
"33","A","1","gpm767",80.94,0.00311301864566901,0.955505570631799,0.53296496599981,0.465362986707699,0.536387605371886,0.764759554284229,6519.16140068358,56.5060854937282,800.205668812064,478.154556931454,16.8069875336131,-0.253960330736696,0.381898443180842,0.249778119540386
"34","A","1","bnlg1014",81.12,0.00308877298853017,0.955679002106975,0.528635178052861,0.467181224760725,0.532006039929373,0.766436812885415,6519.55965225366,56.2018948640946,798.836220461069,477.444403915103,16.8056700770316,-0.252864513805187,0.381289999590944,0.249382143829416
"35","A","1","umc1363a",82.02,0.00315289803879576,0.95522177664654,0.527270570890822,0.467756633897569,0.530772678265557,0.766909605542891,6518.9188533479,56.7918440802271,798.911221689287,477.522263354224,16.8055653343962,-0.252676149284563,0.382126207068608,0.249928517568433
"36","A","1","gst12",83.52,0.00314509815822164,0.955277140729019,0.52786751589446,0.467504782364865,0.531333552627081,0.766694565729202,6518.98302539824,56.7184568261721,798.88463785674,477.49717528197,16.8056224327234,-0.252772256873361,0.381976626460485,0.249834385900842
"37","A","1","umc1269",84.62,0.00310420427714615,0.95556854200021,0.528379729528806,0.467288852439619,0.531783621823874,0.76652205233698,6519.40379039189,56.3456542534207,798.876162621633,477.473816327842,16.8056659448495,-0.252836589328308,0.381498812563374,0.249518234097218
"38","A","1","umc2012",85.72,0.00302398671566459,0.95614580315651,0.528804828958008,0.467109768006058,0.532112679809164,0.766395947610095,6520.2656688316,55.6121641342944,798.809479679789,477.468705290585,16.8056636956327,-0.252894460100133,0.380616793517668,0.248964156653408
